SNP,CHR,Gene,Functional Consequence
rs1044856,13,EPSTI1,"genic_downstream_transcript_variant,missense_variant,3_prime_UTR_variant,coding_sequence_variant"
rs330905,8,PPP1R3B ,downstream_transcript_variant
rs1726866,7,TAS2R38,"coding_sequence_variant,missense_variant"
rs4924481,15,CCDC32,"genic_downstream_transcript_variant,intron_variant"
rs4923876,15,CCDC32,"genic_downstream_transcript_variant,intron_variant"
rs16970851,15,KNL1,upstream_transcript_variant
rs17206303,19,CEP89,"intron_variant,genic_downstream_transcript_variant"
rs17206282,19,CEP89,"intron_variant,genic_downstream_transcript_variant"
rs745960,19,CEP89,"missense_variant,coding_sequence_variant,genic_downstream_transcript_variant,non_coding_transcript_variant"
rs11084679,19,CEP89,"intron_variant,genic_downstream_transcript_variant"
rs2412531,15,CCDC32,"genic_downstream_transcript_variant,intron_variant"
rs584196,6,KCTD20,"non_coding_transcript_variant,3_prime_UTR_variant"
rs1792684,18,SMAD2,"genic_downstream_transcript_variant,intron_variant"
rs6061457,20,MTG2,3_prime_UTR_variant
rs2274578,6,"BYSL, MED20","upstream_transcript_variant,non_coding_transcript_variant,5_prime_UTR_variant,genic_upstream_transcript_variant"
rs1276286,11,MMP27,"coding_sequence_variant,missense_variant"
rs2846701,11,MMP27,intron_variant
rs12103986,18,ALPK2,"synonymous_variant,coding_sequence_variant,missense_variant"
rs3809971,18,ALPK2,"synonymous_variant,coding_sequence_variant"
rs632943,6,STK38,intron_variant
rs2228099,1,ARNT,"synonymous_variant,coding_sequence_variant"
rs1352259,20,NONE,
rs2846723,11,MMP27,intron_variant
rs2113563,2,NONE,
rs349699,5,KCTD16,"genic_downstream_transcript_variant,3_prime_UTR_variant"
rs11645643,16,ATF7IP2,"intron_variant,upstream_transcript_variant,genic_upstream_transcript_variant"
rs765516,6,ROS1,intron_variant
rs3213930,3,NEK10,"synonymous_variant,coding_sequence_variant,genic_upstream_transcript_variant,intron_variant,genic_downstream_transcript_variant,non_coding_transcript_variant"
rs1056836,2,CYP1B1,"missense_variant,coding_sequence_variant"
rs3763978,12,TSPAN8,"coding_sequence_variant,missense_variant"
rs1051334,12,TSPAN8,"coding_sequence_variant,missense_variant"
rs7302060,12,TIMELESS,intron_variant
rs1050382,17,PECAM1,"genic_downstream_transcript_variant,3_prime_UTR_variant"
rs10068,17,PEX12,3_prime_UTR_variant
rs12079242,1,ADGRL2,intron_variant
rs349698,5,KCTD16,"genic_downstream_transcript_variant,3_prime_UTR_variant"
rs12481,3,MB21D2,3_prime_UTR_variant
rs3809972,18,ALPK2,"coding_sequence_variant,missense_variant"
rs905290,11,DENND2B,intron_variant
rs1019129,3,SACM1L,intron_variant
rs9949,8,PPP1R3B,3_prime_UTR_variant
rs236445,6,CPNE5,"intron_variant,genic_downstream_transcript_variant"
rs9372480,6,NONE,
rs916295,6,CPNE5,"upstream_transcript_variant,genic_downstream_transcript_variant,genic_upstream_transcript_variant,intron_variant"
rs267239,3,LIMD1,"upstream_transcript_variant,genic_upstream_transcript_variant,5_prime_UTR_variant"
rs1468542,3,SACM1L,"missense_variant,coding_sequence_variant,non_coding_transcript_variant"
rs1487318,20,WFDC11,intron_variant
rs160278,5,"VCAN, VCAN-AS1","coding_sequence_variant,missense_variant,intron_variant"
rs4985610,17,NONE,
rs2853717,3,NONE,
rs1050674,5,LHFPL2,"genic_downstream_transcript_variant,3_prime_UTR_variant"
rs2243378,6,ROS1,"coding_sequence_variant,synonymous_variant"
rs2853699,3,CCR8,"missense_variant,coding_sequence_variant"
rs668556,1,MACF1,"missense_variant,coding_sequence_variant"
rs3177567,17,GAS7,3_prime_UTR_variant
rs11740697,5,LHFPL2,"downstream_transcript_variant,3_prime_UTR_variant,genic_downstream_transcript_variant"
rs9303470,17,PECAM1,intron_variant
rs2812,17,PECAM1,3_prime_UTR_variant
rs913059,1,TGFBR3,intron_variant
rs6504218,17,PECAM1,intron_variant
rs494735,1,PDE4B,"genic_upstream_transcript_variant,intron_variant"
rs2270121,17,GAS7,3_prime_UTR_variant
rs6808,17,PECAM1,"downstream_transcript_variant,genic_downstream_transcript_variant,3_prime_UTR_variant"
rs10947628,6,CPNE5,"genic_downstream_transcript_variant,upstream_transcript_variant,genic_upstream_transcript_variant,intron_variant"
rs17431604,1,ADGRL2,"genic_downstream_transcript_variant,downstream_transcript_variant,intron_variant"
rs4082413,12,IPO8,"genic_downstream_transcript_variant,3_prime_UTR_variant"
rs1487324,20,"WFDC10A, WFDC9",intron_variant
rs2184157,20,MTG2,3_prime_UTR_variant
rs1054426,12,IPO8,"coding_sequence_variant,synonymous_variant"
rs4148883,4,"ADH4, LOC100507053","intron_variant,upstream_transcript_variant"
rs9489152,6,ROS1,intron_variant
rs7622660,3,HTR3D,intron_variant
rs11171852,12,TIMELESS,intron_variant
rs1453183,15,RPUSD2,intron_variant
rs1060106,8,CLDN23,3_prime_UTR_variant
rs1535900,13,EPSTI1,intron_variant
rs330919,8,PPP1R3B,3_prime_UTR_variant
rs713598,7,TAS2R38,"coding_sequence_variant,missense_variant"
