SNP,CHR,Gene,Functional Consequence
rs1981,18,SMAD2,"3_prime_UTR_variant,genic_downstream_transcript_variant"
rs1487324,20,"WFDC10A,WFDC9",intron_variant
rs745961,19,CEP89,"terminator_codon_variant,genic_downstream_transcript_variant,stop_lost,non_coding_transc"
rs1051344,12,TSPAN8,3_prime_UTR_variant
rs6032346,20,WFDC8,upstream_transcript_variant
rs745960,19,CEP89,"missense_variant,coding_sequence_variant,genic_downstream_transcript_variant,non_coding_transcript_variant"
rs6065836,20,WFDC8,intron_variant
rs1122800,17,NONE,
rs2243378,6,ROS1,"coding_sequence_variant,synonymous_variant"
rs6664618,1,PDE4B,"genic_upstream_transcript_variant,intron_variant"
rs11129270,3,"NEK10,LOC105377004","genic_downstream_transcript_variant,intron_variant,5_prime_UTR_variant,upstream_transcript_variant"
rs2370946,3,"NEK10,LOC105377004","intron_variant,genic_upstream_transcript_variant,genic_downstream_transcript_variant"
rs7520924,1,"PATJ,LOC107984965","upstream_transcript_variant,genic_downstream_transcript_variant,intron_variant"
rs2243379,6,ROS1,intron_variant
rs349704,5,KCTD16,"genic_downstream_transcript_variant,3_prime_UTR_variant"
rs7550056,1,MACF1,intron_variant
rs1016752,3,ABCC5,"genic_downstream_transcript_variant,intron_variant"
rs349700,5,KCTD16,"genic_downstream_transcript_variant,3_prime_UTR_variant"
rs1792666,18,SMAD2,"3_prime_UTR_variant,genic_downstream_transcript_variant"
rs2279665,12,TIMELESS,"coding_sequence_variant,non_coding_transcript_variant,synonymous_variant"
rs3213930,3,NEK10,"synonymous_variant,coding_sequence_variant,genic_upstream_transcript_variant,intron_variant,genic_downstream_transcript_variant,non_coding_transcript_variant"
rs349699,5,KCTD16,"genic_downstream_transcript_variant,3_prime_UTR_variant"
rs187034,5,KCTD16,"genic_downstream_transcript_variant,3_prime_UTR_variant"
rs867858,8,GATA4,3_prime_UTR_variant
rs349703,5,KCTD16,"genic_downstream_transcript_variant,3_prime_UTR_variant"
rs841220,16,"MGRN1,NUDT16L1","3_prime_UTR_variant,non_coding_transcript_variant,genic_upstream_transcript_variant,5_prime_UTR_variant"
rs1321172,1,PDE4B,"genic_upstream_transcript_variant,intron_variant"
rs13066873,3,NONE,
rs2232470,6,"TSPYL4,DSE","upstream_transcript_variant,missense_variant,coding_sequence_variant"
rs1726866,7,TAS2R38,"coding_sequence_variant,missense_variant"
rs6032449,20,"WFDC13,WFDC10B","genic_upstream_transcript_variant,3_prime_UTR_variant,intron_variant"
rs4780917,16,ATF7IP2,"intron_variant,upstream_transcript_variant,genic_upstream_transcript_variant"
rs247897,16,ATP2C2,"non_coding_transcript_variant,coding_sequence_variant,missense_variant"
rs6808,17,PECAM1,"downstream_transcript_variant,genic_downstream_transcript_variant,3_prime_UTR_variant"
rs12825,8,GATA4,3_prime_UTR_variant
rs1276278,11,LOC101928477,"genic_upstream_transcript_variant,intron_variant"
rs2274578,6,"BYSL,MED20","upstream_transcript_variant,non_coding_transcript_variant,5_prime_UTR_variant,genic_upstream_transcript_variant"
rs6094202,20,"WFDC3,WFDC13,WFDC10B","intron_variant,upstream_transcript_variant,downstream_transcript_variant,genic_downstream_transcript_variant"
rs160278,5,"VCAN,VCAN-AS1","coding_sequence_variant,missense_variant,intron_variant"
rs188703,5,"VCAN,VCAN-AS1","coding_sequence_variant,missense_variant,intron_variant"
rs4924481,15,CCDC32,"genic_downstream_transcript_variant,intron_variant"
rs4923876,15,CCDC32,"genic_downstream_transcript_variant,intron_variant"
rs16970851,15,KNL1,upstream_transcript_variant
rs2846701,11,MMP27,intron_variant
rs2846723,11,MMP27,intron_variant
rs12481,3,MB21D2,3_prime_UTR_variant
rs1792684,18,SMAD2,"genic_downstream_transcript_variant,intron_variant"
rs6061457,20,MTG2,3_prime_UTR_variant
rs3809971,18,ALPK2,"synonymous_variant,coding_sequence_variant"
rs7302060,12,TIMELESS,intron_variant
rs905290,11,DENND2B,intron_variant
rs1453183,15,RPUSD2,intron_variant
rs1056836,2,CYP1B1,"missense_variant,coding_sequence_variant"
rs1352259,20,NONE,
rs9489152,6,ROS1,intron_variant
rs11740697,5,LHFPL2,"downstream_transcript_variant,3_prime_UTR_variant,genic_downstream_transcript_variant"
rs12103986,18,ALPK2,"synonymous_variant,coding_sequence_variant,missense_variant"
rs765516,6,ROS1,intron_variant
rs1054426,12,IPO8,"coding_sequence_variant,synonymous_variant"
rs1792670,18,SMAD2,intron_variant
rs12968107,18,SMAD2,"intron_variant,genic_upstream_transcript_variant"
rs17206303,19,CEP89,"intron_variant,genic_downstream_transcript_variant"
rs836534,7,DAGLB,intron_variant
rs1792675,18,SMAD2,"3_prime_UTR_variant,intron_variant"
rs1539872,18,SMAD2,"intron_variant,genic_upstream_transcript_variant"
rs3763978,12,TSPAN8,"coding_sequence_variant,missense_variant"
rs1487318,20,WFDC11,intron_variant
rs1051334,12,TSPAN8,"coding_sequence_variant,missense_variant"
rs9303470,17,PECAM1,intron_variant
rs17206282,19,CEP89,"intron_variant,genic_downstream_transcript_variant"
rs2812,17,PECAM1,3_prime_UTR_variant
rs11084679,19,CEP89,"intron_variant,genic_downstream_transcript_variant"
rs6504218,17,PECAM1,intron_variant
rs9372480,6,NONE,
rs2498982,1,PATJ,"coding_sequence_variant,genic_downstream_transcript_variant,missense_variant,non_coding_transcript_variant"
rs494735,1,PDE4B,"genic_upstream_transcript_variant,intron_variant"
rs668556,1,MACF1,"missense_variant,coding_sequence_variant"
rs7622660,3,HTR3D,intron_variant
rs3813068,18,SMAD2,"intron_variant,genic_upstream_transcript_variant"
rs11171852,12,TIMELESS,intron_variant
rs4973768,3,SLC4A7,"non_coding_transcript_variant,3_prime_UTR_variant"
rs349698,5,KCTD16,"genic_downstream_transcript_variant,3_prime_UTR_variant"
rs841218,16,NUDT16L1,"5_prime_UTR_variant,upstream_transcript_variant,genic_upstream_transcript_variant"
rs2290672,5,"VCAN,VCAN-AS1",intron_variant
rs519044,1,PDE4B,"intron_variant,genic_upstream_transcript_variant"
rs267239,3,LIMD1,"upstream_transcript_variant,genic_upstream_transcript_variant,5_prime_UTR_variant"
rs10484838,6,"TSPYL1, DSE","intron_variant,genic_downstream_transcript_variant,genic_upstream_transcript_variant,3_prime_UTR_variant"
rs713598,7,TAS2R38,"coding_sequence_variant,missense_variant"
rs11645643,16,ATF7IP2,"intron_variant,upstream_transcript_variant,genic_upstream_transcript_variant"
rs247893,16,ATP2C2,intron_variant
rs1108591,17,PECAM1,intron_variant
rs12458,8,"GATA4,C8orf49","upstream_transcript_variant,3_prime_UTR_variant"
rs6913232,6,CCND3,"intron_variant,genic_upstream_transcript_variant"
rs232262,20,"WFDC3, SPINT4","genic_downstream_transcript_variant,intron_variant,upstream_transcript_variant"
rs160277,5,"VCAN,VCAN-AS1","missense_variant,intron_variant,coding_sequence_variant"
